Start;Stop;;
0;0,025;8670,49;8973,69
0,0125;0,0375;126,055;128,243
0,025;0,05;118,777;129,951
0,0375;0,0625;118,918;136,131
0,05;0,075;114,911;121,298
0,0625;0,0875;96,9454;108,539
0,075;0,1;91,3429;116,174
0,0875;0,1125;86,4847;104,725
0,1;0,125;85,9104;94,4598
0,1125;0,1375;86,1594;90,9551
0,125;0,15;87,0309;98,8714
0,1375;0,1625;94,2515;110,179
0,15;0,175;95,0766;117,373
0,1625;0,1875;91,5622;116,784
0,175;0,2;92,703;103,689
0,1875;0,2125;88,3711;96,844
0,2;0,225;78,0674;91,1251
0,2125;0,2375;77,9005;84,0975
0,225;0,25;76,2749;81,7909
0,2375;0,2625;76,5065;85,9483
0,25;0,275;76,4433;82,4878
0,2625;0,2875;81,9868;80,0619
0,275;0,3;80,7671;75,1459
0,2875;0,3125;65,5813;64,3597
0,3;0,325;71,4336;82,8112
0,3125;0,3375;71,7859;89,3855
0,325;0,35;71,2788;79,8247
0,3375;0,3625;76,1701;83,642
0,35;0,375;83,7858;94,1716
0,3625;0,3875;95,9178;99,0087
0,375;0,4;103,39;91,5809
0,3875;0,4125;111,812;87,6258
0,4;0,425;100,077;85,219
0,4125;0,4375;83,871;73,0389
0,425;0,45;81,5132;63,6363
0,4375;0,4625;75,6439;76,9653
0,45;0,475;83,2856;82,258
0,4625;0,4875;82,8448;76,6676
0,475;0,5;78,0617;84,6498
0,4875;0,5125;82,5837;86,8515
0,5;0,525;81,6007;79,2087
0,5125;0,5375;83,0666;78,4204
0,525;0,55;100,852;94,8253
0,5375;0,5625;103,04;101,132
0,55;0,575;87,2698;89,52
0,5625;0,5875;87,7608;76,9278
0,575;0,6;83,9573;76,1437
0,5875;0,6125;75,3444;79,5925
0,6;0,625;82,9794;70,7436
0,6125;0,6375;88,0308;84,6949
0,625;0,65;102,664;104,482
0,6375;0,6625;118,896;107,027
0,65;0,675;119,96;108,136
0,6625;0,6875;123,874;112,444
0,675;0,7;114,191;114,059
0,6875;0,7125;104,125;102,572
0,7;0,725;107,566;98,8646
0,7125;0,7375;118,861;105,816
0,725;0,75;136,738;109,68
0,7375;0,7625;127,255;105,042
