Start;Stop;;;;
0;0,025;36;145;28;124
0,0125;0,0375;41;158;33;142
0,025;0,05;43;140;37;143
0,0375;0,0625;45;146;32;138
0,05;0,075;47;152;43;148
0,0625;0,0875;55;148;55;159
0,075;0,1;59;154;51;163
0,0875;0,1125;64;152;53;159
0,1;0,125;72;149;60;146
0,1125;0,1375;59;138;68;144
0,125;0,15;68;143;62;146
0,1375;0,1625;65;173;54;156
0,15;0,175;56;180;66;159
0,1625;0,1875;68;171;69;154
0,175;0,2;69;177;61;154
0,1875;0,2125;65;178;60;159
0,2;0,225;66;170;67;152
0,2125;0,2375;68;162;59;156
0,225;0,25;80;175;65;161
0,2375;0,2625;80;174;80;156
0,25;0,275;73;163;75;162
0,2625;0,2875;68;164;60;164
0,275;0,3;59;157;65;160
0,2875;0,3125;71;153;77;164
0,3;0,325;83;165;64;169
0,3125;0,3375;86;169;78;170
0,325;0,35;72;159;76;155
0,3375;0,3625;74;163;56;143
0,35;0,375;78;179;59;151
0,3625;0,3875;57;179;63;162
0,375;0,4;47;171;69;166
0,3875;0,4125;42;167;63;160
0,4;0,425;55;165;64;167
0,4125;0,4375;69;168;73;168
0,425;0,45;68;177;96;160
0,4375;0,4625;80;180;91;165
0,45;0,475;78;171;78;167
0,4625;0,4875;70;161;79;173
0,475;0,5;79;157;65;165
0,4875;0,5125;89;166;66;157
0,5;0,525;88;171;77;165
0,5125;0,5375;83;164;86;161
0,525;0,55;72;169;76;165
0,5375;0,5625;73;169;64;165
0,55;0,575;97;160;71;164
0,5625;0,5875;89;152;91;173
0,575;0,6;64;152;89;164
0,5875;0,6125;70;159;75;161
0,6;0,625;72;163;78;168
0,6125;0,6375;74;170;82;167
0,625;0,65;85;165;80;159
0,6375;0,6625;65;163;76;156
0,65;0,675;55;160;81;165
0,6625;0,6875;76;152;81;166
0,675;0,7;94;162;79;158
0,6875;0,7125;81;156;93;154
0,7;0,725;71;157;96;158
0,7125;0,7375;77;167;79;156
0,725;0,75;74;168;76;160
0,7375;0,7625;70;178;80;166
0,75;0,775;72;177;73;162
0,7625;0,7875;72;173;84;171
0,775;0,8;80;169;93;181
0,7875;0,8125;79;175;88;179
0,8;0,825;58;184;62;170
0,8125;0,8375;45;157;30;141
0,825;0,85;39;131;23;127
0,8375;0,8625;32;119;27;132
0,85;0,875;24;120;30;143
0,8625;0,8875;22;138;27;156
0,875;0,9;23;148;33;161
0,8875;0,9125;23;155;31;158
0,9;0,925;30;168;42;161
0,9125;0,9375;41;175;54;172
0,925;0,95;45;178;44;173
0,9375;0,9625;49;180;39;168
0,95;0,975;74;178;44;169
0,9625;0,9875;85;166;51;163
0,975;1;71;164;67;172
0,9875;1,0125;63;166;61;176
1;1,025;55;171;52;165
1,0125;1,0375;62;187;61;171
1,025;1,05;86;185;70;177
1,0375;1,0625;73;166;75;174
1,05;1,075;68;125;82;145
1,0625;1,0875;85;102;90;115
1,075;1,1;82;110;86;108
1,0875;1,1125;78;107;84;112
1,1;1,125;81;108;78;115
1,1125;1,1375;94;114;85;108
1,125;1,15;97;109;93;108
1,1375;1,1625;97;111;92;110
1,15;1,175;89;120;93;105
1,1625;1,1875;91;115;88;107
1,175;1,2;100;112;86;107
1,1875;1,2125;99;112;92;110
1,2;1,225;89;105;103;118
1,2125;1,2375;84;106;95;118
1,225;1,25;86;113;89;114
1,2375;1,2625;86;113;93;111
1,25;1,275;87;106;91;111
1,2625;1,2875;85;107;87;119
1,275;1,3;89;107;89;119
1,2875;1,3125;89;108;86;108
1,3;1,325;87;105;82;103
1,3125;1,3375;88;100;81;106
1,325;1,35;87;100;82;110
