Start,Stop,,
0,0.025,8710.58,9053.34
0.0125,0.0375,56.4799,46.5747
0.025,0.05,50.4722,42.072
0.0375,0.0625,47.7842,45.3564
0.05,0.075,47.6187,50.186
0.0625,0.0875,46.3947,48.9971
0.075,0.1,47.8856,48.1066
0.0875,0.1125,47.8404,47.3739
0.1,0.125,47.7682,43.6866
0.1125,0.1375,47.9233,45.2719
0.125,0.15,46.513,47.2507
0.1375,0.1625,51.119,45.4646
0.15,0.175,52.9739,47.7345
0.1625,0.1875,52.161,50.9657
0.175,0.2,55.279,49.8532
0.1875,0.2125,214.785,226.186
0.2,0.225,214.886,227.87
0.2125,0.2375,52.6999,56.5945
0.225,0.25,44.6015,47.7148
0.2375,0.2625,42.667,45.4032
0.25,0.275,52.9367,43.1102
0.2625,0.2875,58.9263,45.7408
0.275,0.3,52.8869,46.2472
0.2875,0.3125,45.8968,47.7804
0.3,0.325,46.7144,53.2634
0.3125,0.3375,49.1237,48.0387
0.325,0.35,53.6093,42.0043
0.3375,0.3625,54.9223,40.9487
0.35,0.375,51.7297,43.5994
0.3625,0.3875,60.4351,53.1949
0.375,0.4,57.7158,49.074
0.3875,0.4125,47.6974,41.1349
0.4,0.425,50.0885,45.8515
0.4125,0.4375,48.3041,45.3676
0.425,0.45,51.0686,45.9693
0.4375,0.4625,53.5309,43.4663
0.45,0.475,50.7808,39.6616
0.4625,0.4875,51.1563,40.8197
0.475,0.5,52.1104,43.9399
0.4875,0.5125,50.6109,46.4157
0.5,0.525,55.2668,43.0994
0.5125,0.5375,54.4025,44.9461
0.525,0.55,54.699,51.127
0.5375,0.5625,53.8907,47.5066
0.55,0.575,50.2657,47.2454
0.5625,0.5875,50.6729,48.7595
0.575,0.6,46.6609,40.2688
0.5875,0.6125,49.993,42.3142
0.6,0.625,51.1527,47.2904
0.6125,0.6375,43.7905,45.767
0.625,0.65,41.8037,45.7589
0.6375,0.6625,46.9206,47.0551
0.65,0.675,51.4847,46.9195
0.6625,0.6875,54.6468,47.3873
0.675,0.7,51.0503,48.5651
0.6875,0.7125,45.4218,49.2357
0.7,0.725,47.3798,44.0734
0.7125,0.7375,53.6188,45.4808
0.725,0.75,51.7921,47.0782
0.7375,0.7625,52.9852,43.847
0.75,0.775,58.7101,50.2703
0.7625,0.7875,60.4815,52.9361
0.775,0.8,59.6381,44.8809
0.7875,0.8125,54.7829,42.2503
0.8,0.825,62.2194,44.9333
0.8125,0.8375,63.5168,41.2722
0.825,0.85,51.5439,41.3043
0.8375,0.8625,45.7264,46.1815
0.85,0.875,46.8907,49.1104
0.8625,0.8875,46.9501,47.1384
0.875,0.9,44.7941,49.5818
0.8875,0.9125,46.8482,50.1417
0.9,0.925,53.6717,48.7911
0.9125,0.9375,61.3357,55.4302
0.925,0.95,68.1551,62.8279
0.9375,0.9625,73.5807,60.3053
0.95,0.975,73.3337,53.7975
0.9625,0.9875,68.2279,61.0367
0.975,1,55.5738,58.906
0.9875,1.0125,58.2658,46.5953
1,1.025,61.5545,46.4176
1.0125,1.0375,57.919,51.0045
1.025,1.05,61.8509,63.3676
1.0375,1.0625,55.1436,64.4795
1.05,1.075,54.2651,53.6041
1.0625,1.0875,60.89,54.3171
1.075,1.1,59.3015,57.2737
1.0875,1.1125,62.1644,53.1139
1.1,1.125,61.54,51.8668
1.1125,1.1375,54.1711,61.2312
1.125,1.15,55.5324,62.7842
1.1375,1.1625,58.0549,58.9102
1.15,1.175,54.284,59.9879
1.1625,1.1875,48.142,58.322
1.175,1.2,49.3065,52.3187
1.1875,1.2125,52.7175,46.5965
1.2,1.225,57.3135,48.4703
1.2125,1.2375,62.3319,54.1368
1.225,1.25,57.9187,57.0522
1.2375,1.2625,55.7362,54.0245
1.25,1.275,57.7457,52.6188
1.2625,1.2875,58.8114,58.51
1.275,1.3,60.3885,57.2982
1.2875,1.3125,389.172,342.682
1.3,1.325,4934.38,4657.15
1.3125,1.3375,5024.23,4770.86
1.325,1.35,1289.68,1332.22
1.3375,1.3625,1011.29,1025.95
1.35,1.375,845.728,861.376
1.3625,1.3875,730.486,715.644
1.375,1.4,624.054,651.597
1.3875,1.4125,492.934,533.917
1.4,1.425,392.228,394.8
1.4125,1.4375,336.654,326.008
1.425,1.45,263.71,270.739
1.4375,1.4625,252.734,214.302
1.45,1.475,218.6,187.634
1.4625,1.4875,165.114,164.002
1.475,1.5,135.205,142.483
1.4875,1.5125,129.691,119.308
1.5,1.525,110.001,98.8244
1.5125,1.5375,88.6665,102.033
1.525,1.55,80.9894,99.7402
1.5375,1.5625,81.2138,79.9156
1.55,1.575,81.6824,71.1493
1.5625,1.5875,71.7997,72.6358
1.575,1.6,64.2159,68.5487
1.5875,1.6125,66.8525,63.1769
1.6,1.625,65.7476,58.6847
1.6125,1.6375,65.9501,55.2728
1.625,1.65,3635.67,6015.65
1.6375,1.6625,19166.7,27440.9
1.65,1.675,19021,27069.7
1.6625,1.6875,3802.74,4926.31
1.675,1.7,3239.08,3792.73
1.6875,1.7125,2864.78,3399.77
1.7,1.725,2722.62,2978.95
1.7125,1.7375,2209.91,2264.81
1.725,1.75,1788.75,1831.39
1.7375,1.7625,1438.59,1582.37
1.75,1.775,1127.99,1304.76
1.7625,1.7875,910.779,1173.4
1.775,1.8,844.543,933.605
1.7875,1.8125,751.275,715.471
1.8,1.825,657.207,650.34
1.8125,1.8375,519.629,561.978
