Start;Stop;;;;
0;0,025;63;137;54;129
0,0125;0,0375;76;164;81;148
0,025;0,05;93;162;87;156
0,0375;0,0625;90;164;71;143
0,05;0,075;81;166;65;143
0,0625;0,0875;89;179;76;159
0,075;0,1;84;172;76;160
0,0875;0,1125;91;163;73;153
0,1;0,125;97;168;74;152
0,1125;0,1375;99;168;67;148
0,125;0,15;107;170;72;154
0,1375;0,1625;93;164;77;168
0,15;0,175;71;161;72;171
0,1625;0,1875;78;168;66;167
0,175;0,2;83;160;71;157
0,1875;0,2125;61;145;59;146
0,2;0,225;72;158;49;140
0,2125;0,2375;91;164;67;155
0,225;0,25;91;160;75;171
0,2375;0,2625;91;165;74;179
0,25;0,275;74;168;76;179
0,2625;0,2875;76;169;60;161
0,275;0,3;85;170;66;155
0,2875;0,3125;87;168;69;153
0,3;0,325;84;178;70;164
0,3125;0,3375;72;164;72;162
0,325;0,35;69;149;63;139
0,3375;0,3625;74;159;72;154
0,35;0,375;71;161;70;158
0,3625;0,3875;66;165;59;146
0,375;0,4;81;163;79;158
0,3875;0,4125;81;161;98;155
0,4;0,425;88;166;89;148
0,4125;0,4375;108;171;86;151
0,425;0,45;88;177;85;157
0,4375;0,4625;77;174;100;164
0,45;0,475;78;156;101;162
0,4625;0,4875;92;166;85;158
0,475;0,5;93;181;72;158
0,4875;0,5125;95;193;82;162
0,5;0,525;99;186;104;167
0,5125;0,5375;89;163;88;162
0,525;0,55;84;164;69;155
0,5375;0,5625;72;153;73;148
0,55;0,575;63;152;72;144
0,5625;0,5875;64;161;69;144
0,575;0,6;78;157;90;156
0,5875;0,6125;80;164;94;157
0,6;0,625;83;171;86;150
0,6125;0,6375;94;162;81;155
0,625;0,65;100;160;79;155
0,6375;0,6625;96;159;94;174
0,65;0,675;87;169;102;179
0,6625;0,6875;85;173;95;172
0,675;0,7;89;156;84;160
0,6875;0,7125;96;159;73;150
0,7;0,725;102;179;86;154
0,7125;0,7375;83;170;89;159
0,725;0,75;76;153;64;156
0,7375;0,7625;67;155;72;166
0,75;0,775;66;170;88;170
0,7625;0,7875;82;177;75;167
0,775;0,8;91;169;75;161
0,7875;0,8125;80;155;85;158
0,8;0,825;70;157;94;172
0,8125;0,8375;74;165;93;172
0,825;0,85;79;166;91;169
0,8375;0,8625;81;154;94;157
0,85;0,875;97;169;86;159
0,8625;0,8875;102;174;86;161
0,875;0,9;88;170;81;157
0,8875;0,9125;100;175;89;161
0,9;0,925;98;171;96;171
0,9125;0,9375;89;177;77;178
0,925;0,95;83;187;72;166
0,9375;0,9625;65;191;82;158
0,95;0,975;67;189;94;173
0,9625;0,9875;75;171;80;176
0,975;1;74;154;77;163
0,9875;1,0125;69;169;91;152
1;1,025;69;180;88;167
1,0125;1,0375;75;168;82;168
1,025;1,05;81;160;76;152
1,0375;1,0625;99;160;67;160
1,05;1,075;100;167;74;166
1,0625;1,0875;81;158;82;160
1,075;1,1;80;163;71;161
1,0875;1,1125;65;169;83;163
1,1;1,125;70;169;86;151
1,1125;1,1375;93;166;67;150
1,125;1,15;84;157;63;166
1,1375;1,1625;81;163;70;159
1,15;1,175;97;181;70;145
1,1625;1,1875;99;173;67;147
1,175;1,2;98;159;81;145
1,1875;1,2125;97;162;83;143
1,2;1,225;93;165;74;149
1,2125;1,2375;88;179;74;154
1,225;1,25;89;186;74;157
1,2375;1,2625;93;174;74;151
1,25;1,275;93;168;82;158
1,2625;1,2875;85;164;78;170
1,275;1,3;81;171;79;160
1,2875;1,3125;79;164;73;144
1,3;1,325;84;143;77;142
1,3125;1,3375;106;140;101;155
1,325;1,35;115;140;104;148
1,3375;1,3625;116;144;109;137
1,35;1,375;120;151;106;139
1,3625;1,3875;115;152;100;146
1,375;1,4;115;142;104;157
1,3875;1,4125;123;147;106;151
1,4;1,425;116;146;111;145
1,4125;1,4375;107;143;100;152
1,425;1,45;102;152;92;154
1,4375;1,4625;102;143;103;150
1,45;1,475;101;138;111;144
1,4625;1,4875;111;163;116;144
1,475;1,5;118;164;117;156
1,4875;1,5125;105;137;113;164
1,5;1,525;97;144;110;160
1,5125;1,5375;104;157;102;144
1,525;1,55;102;156;96;133
1,5375;1,5625;91;150;105;139
1,55;1,575;87;151;105;148
1,5625;1,5875;86;148;103;154
1,575;1,6;84;141;103;156
1,5875;1,6125;92;157;87;154
1,6;1,625;95;159;81;155
1,6125;1,6375;88;154;91;170
1,625;1,65;74;149;92;171
1,6375;1,6625;69;121;80;139
1,65;1,675;76;109;72;106
1,6625;1,6875;76;116;73;97
1,675;1,7;75;123;71;102
1,6875;1,7125;72;116;72;113
1,7;1,725;70;102;80;106
1,7125;1,7375;72;108;82;108
1,725;1,75;77;112;71;114
1,7375;1,7625;77;108;75;108
1,75;1,775;71;110;77;101
1,7625;1,7875;75;123;69;101
1,775;1,8;81;114;70;106
1,7875;1,8125;77;102;70;111
1,8;1,825;70;105;70;112
1,8125;1,8375;69;107;70;109
1,825;1,85;79;118;71;102
1,8375;1,8625;77;112;67;105
1,85;1,875;65;108;73;108
1,8625;1,8875;63;116;83;111
1,875;1,9;71;115;77;118
1,8875;1,9125;77;119;74;125
1,9;1,925;80;127;75;122
1,9125;1,9375;79;129;72;121
1,925;1,95;80;126;68;124
1,9375;1,9625;78;132;65;123
1,95;1,975;80;135;63;130
1,9625;1,9875;79;117;64;115
1,975;2;70;100;71;97
1,9875;2,0125;67;106;69;92
2;2,025;71;99;69;95
2,0125;2,0375;78;99;72;95
2,025;2,05;78;105;67;90
2,0375;2,0625;72;96;68;92
2,05;2,075;68;94;73;92
2,0625;2,0875;72;92;74;94
2,075;2,1;72;97;71;98
2,0875;2,1125;71;109;72;91
2,1;2,125;72;96;73;93
2,1125;2,1375;67;87;70;97
2,125;2,15;70;94;76;91
2,1375;2,1625;78;96;73;88
2,15;2,175;79;94;74;88
2,1625;2,1875;75;98;74;85
2,175;2,2;74;104;71;86
2,1875;2,2125;74;102;73;88
2,2;2,225;78;96;74;91
2,2125;2,2375;78;98;74;96
2,225;2,25;76;96;65;89
2,2375;2,2625;68;109;68;98
2,25;2,275;65;115;75;106
2,2625;2,2875;71;96;68;110
2,275;2,3;78;103;68;121
2,2875;2,3125;74;124;73;126
2,3;2,325;74;142;76;119
2,3125;2,3375;76;121;75;100
2,325;2,35;73;98;68;93
2,3375;2,3625;79;106;68;94
2,35;2,375;78;96;65;90
2,3625;2,3875;71;86;59;91
2,375;2,4;69;95;69;91
2,3875;2,4125;65;105;69;89
2,4;2,425;69;105;67;89
2,4125;2,4375;77;98;75;86
2,425;2,45;73;96;75;84
2,4375;2,4625;69;93;73;89
2,45;2,475;70;86;74;88
2,4625;2,4875;71;85;72;90
2,475;2,5;73;87;72;87
2,4875;2,5125;73;92;74;84
2,5;2,525;73;93;75;84
2,5125;2,5375;76;90;72;81
2,525;2,55;76;89;70;86
2,5375;2,5625;74;96;74;94
2,55;2,575;75;96;71;103
2,5625;2,5875;75;90;70;105
2,575;2,6;78;92;73;95
2,5875;2,6125;75;108;73;86
2,6;2,625;71;110;78;90
2,6125;2,6375;73;105;77;98
2,625;2,65;68;118;70;106
2,6375;2,6625;70;120;71;106
2,65;2,675;67;122;69;102
2,6625;2,6875;69;122;74;111
2,675;2,7;74;112;79;121
2,6875;2,7125;72;115;70;126
2,7;2,725;78;128;73;135
2,7125;2,7375;70;138;70;138
2,725;2,75;72;153;69;145
2,7375;2,7625;80;163;66;149
2,75;2,775;82;159;66;141
2,7625;2,7875;79;148;72;148
2,775;2,8;70;146;58;145
2,7875;2,8125;62;155;68;141
2,8;2,825;67;158;82;162
2,8125;2,8375;66;150;70;169
2,825;2,85;63;157;56;164
2,8375;2,8625;68;163;57;160
2,85;2,875;61;157;69;159
2,8625;2,8875;62;155;71;150
2,875;2,9;70;161;68;146
2,8875;2,9125;73;154;62;152
2,9;2,925;66;151;68;169
2,9125;2,9375;71;152;74;179
2,925;2,95;79;151;78;164
2,9375;2,9625;75;161;79;153
2,95;2,975;74;164;76;165
2,9625;2,9875;73;163;72;161
2,975;3;84;165;65;144
2,9875;3,0125;83;148;67;138
3;3,025;60;142;75;160
3,0125;3,0375;63;159;77;177
3,025;3,05;72;176;69;160
3,0375;3,0625;76;176;64;154
3,05;3,075;82;167;65;164
3,0625;3,0875;80;162;79;169
3,075;3,1;83;171;82;171
3,0875;3,1125;98;166;94;170
3,1;3,125;99;156;89;169
3,1125;3,1375;77;145;70;153
3,125;3,15;80;146;69;141
3,1375;3,1625;81;159;80;146
3,15;3,175;76;164;102;146
3,1625;3,1875;92;156;98;146
3,175;3,2;103;146;89;136
3,1875;3,2125;94;139;91;134
3,2;3,225;83;128;83;136
3,2125;3,2375;74;116;70;131
3,225;3,25;77;117;70;125
3,2375;3,2625;85;125;69;116
3,25;3,275;72;125;62;114
3,2625;3,2875;59;127;71;112
3,275;3,3;68;133;78;120
3,2875;3,3125;75;141;76;126
3,3;3,325;70;136;70;115
3,3125;3,3375;66;122;71;122
3,325;3,35;67;125;78;140
3,3375;3,3625;69;124;72;138
3,35;3,375;78;121;61;128
3,3625;3,3875;78;131;66;123
3,375;3,4;74;133;69;126
3,3875;3,4125;85;140;67;121
3,4;3,425;87;144;73;125
3,4125;3,4375;72;144;75;129
3,425;3,45;63;140;72;121
3,4375;3,4625;77;143;73;126
3,45;3,475;88;140;83;136
3,4625;3,4875;83;141;88;136
3,475;3,5;82;142;78;145
3,4875;3,5125;73;131;70;137
3,5;3,525;77;114;75;114
3,5125;3,5375;86;103;79;107
3,525;3,55;78;100;80;93
3,5375;3,5625;78;103;79;98
3,55;3,575;76;106;77;103
3,5625;3,5875;76;102;77;99
3,575;3,6;76;105;76;107
3,5875;3,6125;76;110;77;104
3,6;3,625;79;104;77;90
3,6125;3,6375;83;104;72;94
3,625;3,65;80;105;74;99
3,6375;3,6625;75;107;77;106
3,65;3,675;80;112;83;107
3,6625;3,6875;81;106;80;93
3,675;3,7;74;92;76;94
3,6875;3,7125;72;97;76;90
3,7;3,725;78;103;71;88
3,7125;3,7375;80;96;78;100
3,725;3,75;77;98;83;111
3,7375;3,7625;72;103;85;104
3,75;3,775;74;100;79;95
3,7625;3,7875;80;100;74;92
3,775;3,8;78;100;75;97
3,7875;3,8125;78;107;75;109
3,8;3,825;80;124;79;115
3,8125;3,8375;80;125;80;126
3,825;3,85;81;123;82;131
3,8375;3,8625;85;130;93;129
3,85;3,875;99;139;96;133
3,8625;3,8875;110;141;96;142
3,875;3,9;117;138;99;145
3,8875;3,9125;99;142;85;134
3,9;3,925;81;144;74;140
3,9125;3,9375;82;155;79;151
3,925;3,95;68;171;68;149
3,9375;3,9625;47;161;44;151
3,95;3,975;43;162;43;151
3,9625;3,9875;32;184;53;132
3,975;4;31;180;50;133
3,9875;4,0125;46;160;55;151
4;4,025;50;141;64;159
4,0125;4,0375;48;149;63;157
4,025;4,05;56;162;73;163
4,0375;4,0625;62;173;78;164
4,05;4,075;52;169;74;149
4,0625;4,0875;68;156;68;151
4,075;4,1;78;154;74;155
4,0875;4,1125;61;150;85;151
4,1;4,125;50;155;77;156
4,1125;4,1375;67;165;72;156
4,125;4,15;84;181;79;157
4,1375;4,1625;75;191;75;162
4,15;4,175;63;177;70;153
4,1625;4,1875;54;174;60;165
4,175;4,2;50;177;56;165
4,1875;4,2125;59;162;79;157
4,2;4,225;63;159;78;160
4,2125;4,2375;74;172;81;171
4,225;4,25;76;182;96;183
4,2375;4,2625;77;180;94;165
4,25;4,275;84;173;83;155
4,2625;4,2875;84;167;77;151
4,275;4,3;91;166;67;156
4,2875;4,3125;83;172;51;177
4,3;4,325;83;173;62;177
4,3125;4,3375;95;175;78;177
4,325;4,35;85;174;72;168
4,3375;4,3625;73;164;71;151
4,35;4,375;71;162;75;149
4,3625;4,3875;64;168;62;146
4,375;4,4;55;170;57;142
4,3875;4,4125;50;155;66;137
4,4;4,425;60;152;64;141
4,4125;4,4375;68;160;67;149
4,425;4,45;59;161;71;146
4,4375;4,4625;55;157;66;141
4,45;4,475;66;163;72;139
4,4625;4,4875;67;159;70;168
4,475;4,5;64;149;70;167
4,4875;4,5125;57;148;85;134
4,5;4,525;61;136;83;119
4,5125;4,5375;72;121;80;110
4,525;4,55;76;113;81;113
4,5375;4,5625;78;111;77;109
4,55;4,575;81;114;71;109
4,5625;4,5875;85;116;74;112
4,575;4,6;83;114;79;112
4,5875;4,6125;77;112;85;124
4,6;4,625;70;118;78;118
4,6125;4,6375;76;125;71;101
4,625;4,65;76;120;82;105
4,6375;4,6625;73;119;82;114
4,65;4,675;78;118;69;115
4,6625;4,6875;75;113;78;120
4,675;4,7;68;120;88;120
4,6875;4,7125;70;116;78;114
4,7;4,725;72;112;77;115
4,7125;4,7375;78;121;83;114
4,725;4,75;85;122;87;109
4,7375;4,7625;85;125;83;107
4,75;4,775;82;118;81;116
4,7625;4,7875;80;118;75;126
4,775;4,8;78;129;74;133
4,7875;4,8125;79;131;83;134
4,8;4,825;78;145;81;136
4,8125;4,8375;74;118;79;129
4,825;4,85;78;96;82;115
4,8375;4,8625;83;109;77;102
4,85;4,875;74;109;80;98
4,8625;4,8875;73;112;78;112
4,875;4,9;78;113;72;116
4,8875;4,9125;76;116;76;110
4,9;4,925;71;117;80;113
4,9125;4,9375;68;112;78;109
4,925;4,95;73;121;78;103
4,9375;4,9625;80;115;79;103
4,95;4,975;80;106;77;106
4,9625;4,9875;68;107;78;99
4,975;5;72;112;80;96
4,9875;5,0125;83;113;80;103
5;5,025;76;110;76;96
5,0125;5,0375;72;119;75;103
5,025;5,05;71;115;74;118
5,0375;5,0625;73;102;73;110
5,05;5,075;78;96;71;94
5,0625;5,0875;71;94;70;91
5,075;5,1;64;105;69;98
5,0875;5,1125;68;114;70;94
5,1;5,125;75;107;77;94
5,1125;5,1375;77;104;79;104
5,125;5,15;80;111;84;108
5,1375;5,1625;84;115;81;116
5,15;5,175;87;115;77;117
5,1625;5,1875;80;114;79;114
5,175;5,2;72;124;78;111
5,1875;5,2125;76;138;83;113
5,2;5,225;84;151;82;125
5,2125;5,2375;80;148;77;131
5,225;5,25;73;128;74;131
5,2375;5,2625;77;134;70;137
5,25;5,275;84;155;77;137
5,2625;5,2875;78;161;86;135
5,275;5,3;80;162;88;150
5,2875;5,3125;85;168;79;160
5,3;5,325;88;167;79;155
