Start;Stop;;;;
0;0,025;37;136;41;133
0,0125;0,0375;41;158;44;152
0,025;0,05;41;165;49;160
0,0375;0,0625;40;180;55;158
0,05;0,075;51;182;57;154
0,0625;0,0875;48;183;51;156
0,075;0,1;63;174;53;165
0,0875;0,1125;78;160;58;167
0,1;0,125;79;158;61;163
0,1125;0,1375;75;164;60;160
0,125;0,15;52;157;49;162
0,1375;0,1625;53;163;58;162
0,15;0,175;58;167;71;159
0,1625;0,1875;46;147;74;170
0,175;0,2;65;153;67;185
0,1875;0,2125;94;160;64;184
0,2;0,225;80;154;79;168
0,2125;0,2375;75;161;75;156
0,225;0,25;83;165;85;149
0,2375;0,2625;88;163;89;149
0,25;0,275;85;165;81;159
0,2625;0,2875;78;166;103;165
0,275;0,3;86;166;101;162
0,2875;0,3125;82;159;71;159
0,3;0,325;60;154;62;167
0,3125;0,3375;59;164;64;169
0,325;0,35;71;174;67;164
0,3375;0,3625;61;173;71;169
0,35;0,375;57;165;74;167
0,3625;0,3875;67;154;78;159
0,375;0,4;59;154;79;171
0,3875;0,4125;56;170;73;175
0,4;0,425;75;186;56;156
0,4125;0,4375;86;179;55;153
0,425;0,45;69;163;59;150
0,4375;0,4625;54;162;58;140
0,45;0,475;57;165;61;158
0,4625;0,4875;64;155;62;171
0,475;0,5;71;151;61;161
0,4875;0,5125;77;152;72;159
0,5;0,525;87;155;82;169
0,5125;0,5375;85;155;59;174
0,525;0,55;68;158;53;175
0,5375;0,5625;73;169;62;174
0,55;0,575;72;172;56;163
0,5625;0,5875;59;175;57;161
0,575;0,6;79;170;51;157
0,5875;0,6125;92;161;59;144
0,6;0,625;82;159;67;150
0,6125;0,6375;79;175;60;163
0,625;0,65;74;182;72;164
0,6375;0,6625;63;169;76;169
0,65;0,675;55;167;51;163
0,6625;0,6875;60;157;46;159
0,675;0,7;63;147;60;165
0,6875;0,7125;71;170;72;161
0,7;0,725;77;177;79;159
0,7125;0,7375;70;161;62;160
0,725;0,75;56;170;57;172
0,7375;0,7625;48;168;64;175
0,75;0,775;54;162;68;165
0,7625;0,7875;61;164;58;154
0,775;0,8;70;166;58;154
0,7875;0,8125;74;166;75;163
0,8;0,825;95;170;77;162
0,8125;0,8375;97;181;72;162
0,825;0,85;92;176;65;158
0,8375;0,8625;72;168;77;158
0,85;0,875;42;153;88;169
0,8625;0,8875;60;151;82;169
0,875;0,9;82;176;69;157
0,8875;0,9125;84;173;64;158
0,9;0,925;78;158;69;165
0,9125;0,9375;91;172;78;152
0,925;0,95;93;174;80;152
0,9375;0,9625;81;157;77;165
0,95;0,975;83;154;76;155
0,9625;0,9875;85;160;74;157
0,975;1;91;161;104;176
0,9875;1,0125;85;154;101;173
1;1,025;83;150;69;151
1,0125;1,0375;90;167;72;154
1,025;1,05;90;187;62;153
1,0375;1,0625;70;182;50;141
1,05;1,075;62;164;61;136
1,0625;1,0875;88;160;77;145
1,075;1,1;91;162;78;152
1,0875;1,1125;73;146;71;145
1,1;1,125;77;145;75;150
1,1125;1,1375;85;161;81;155
1,125;1,15;81;160;81;156
1,1375;1,1625;84;157;79;155
1,15;1,175;92;165;72;159
1,1625;1,1875;97;173;62;142
1,175;1,2;105;171;69;138
1,1875;1,2125;106;164;76;165
1,2;1,225;90;155;89;174
1,2125;1,2375;80;155;93;160
1,225;1,25;79;160;79;144
1,2375;1,2625;85;165;75;154
1,25;1,275;85;166;68;160
1,2625;1,2875;83;163;70;170
1,275;1,3;93;162;86;166
1,2875;1,3125;98;154;96;175
1,3;1,325;84;149;90;179
1,3125;1,3375;79;156;86;167
1,325;1,35;101;160;99;181
1,3375;1,3625;90;154;103;176
1,35;1,375;75;160;78;151
1,3625;1,3875;73;150;73;154
1,375;1,4;72;146;91;167
1,3875;1,4125;86;160;87;170
1,4;1,425;76;156;87;171
1,4125;1,4375;62;155;86;163
1,425;1,45;73;165;68;152
1,4375;1,4625;79;163;73;153
1,45;1,475;80;153;76;164
1,4625;1,4875;85;152;78;158
1,475;1,5;80;151;97;155
1,4875;1,5125;79;158;86;165
1,5;1,525;93;166;63;169
1,5125;1,5375;97;160;54;159
1,525;1,55;79;153;50;154
1,5375;1,5625;78;157;67;162
1,55;1,575;84;160;75;166
1,5625;1,5875;74;163;66;167
1,575;1,6;73;166;65;166
1,5875;1,6125;78;153;73;164
1,6;1,625;82;151;88;167
1,6125;1,6375;75;168;90;165
1,625;1,65;69;167;80;154
1,6375;1,6625;64;157;74;152
1,65;1,675;78;170;80;148
1,6625;1,6875;78;168;78;141
1,675;1,7;79;158;72;150
1,6875;1,7125;89;165;68;170
1,7;1,725;74;167;78;169
1,7125;1,7375;58;153;88;154
1,725;1,75;69;145;85;148
1,7375;1,7625;78;152;78;153
1,75;1,775;64;153;74;157
1,7625;1,7875;67;150;73;153
1,775;1,8;81;156;62;156
1,7875;1,8125;68;140;49;144
1,8;1,825;32;116;30;113
1,8125;1,8375;20;96;18;86
1,825;1,85;24;80;20;72
1,8375;1,8625;24;76;24;76
1,85;1,875;24;82;28;80
1,8625;1,8875;24;76;26;77
1,875;1,9;28;77;26;79
1,8875;1,9125;33;83;28;77
1,9;1,925;34;84;28;80
1,9125;1,9375;33;84;29;82
1,925;1,95;36;92;30;87
1,9375;1,9625;48;99;41;97
1,95;1,975;52;99;52;93
1,9625;1,9875;55;97;53;91
1,975;2;52;99;54;93
1,9875;2,0125;51;97;55;89
2;2,025;60;93;58;85
2,0125;2,0375;60;99;54;97
2,025;2,05;56;112;52;111
2,0375;2,0625;57;109;59;119
2,05;2,075;58;94;62;114
2,0625;2,0875;58;85;54;89
