Start;Stop;;
0;0,025;8611,4;8978,48
0,0125;0,0375;205,983;214,336
0,025;0,05;185,637;212,442
0,0375;0,0625;205,803;203,944
0,05;0,075;192,11;175,442
0,0625;0,0875;147,291;159,269
0,075;0,1;115,865;145,179
0,0875;0,1125;102,387;117,104
0,1;0,125;115,275;130,615
0,1125;0,1375;110,847;124,167
0,125;0,15;82,4432;90,2979
0,1375;0,1625;66,5514;81,1661
0,15;0,175;67,8048;83,113
0,1625;0,1875;75,6427;85,6045
0,175;0,2;76,1656;88,3029
0,1875;0,2125;69,4263;84,4026
0,2;0,225;70,5322;86,9028
0,2125;0,2375;89,4643;94,7991
0,225;0,25;123,602;124,538
0,2375;0,2625;142,867;132,316
0,25;0,275;123,639;97,6251
0,2625;0,2875;96,2586;87,5797
0,275;0,3;89,044;111,645
0,2875;0,3125;106,562;136,158
0,3;0,325;135,117;146,853
0,3125;0,3375;146,342;155,766
0,325;0,35;136,108;146,372
0,3375;0,3625;118,494;115,529
0,35;0,375;117,497;111,908
0,3625;0,3875;146,551;148,154
0,375;0,4;135,604;141,908
0,3875;0,4125;100,739;92,6463
0,4;0,425;96,7856;84,9169
0,4125;0,4375;82,2442;87,2167
0,425;0,45;87,6748;86,8008
0,4375;0,4625;93,9227;92,374
0,45;0,475;172,319;196,463
0,4625;0,4875;182,37;197,373
0,475;0,5;176,352;175,309
0,4875;0,5125;224,478;245,967
0,5;0,525;199,322;244,17
0,5125;0,5375;166,915;209,975
0,525;0,55;192,556;243,009
0,5375;0,5625;245,166;290,511
0,55;0,575;257,366;289,699
0,5625;0,5875;214,699;257,871
0,575;0,6;238,246;269,483
0,5875;0,6125;313,737;336,049
0,6;0,625;282,224;310,09
0,6125;0,6375;247,88;274,538
0,625;0,65;271,498;282,679
0,6375;0,6625;255,716;254,634
0,65;0,675;249,415;261,3
0,6625;0,6875;221,613;238,863
0,675;0,7;211,364;215,925
0,6875;0,7125;219,68;222,101
0,7;0,725;279,884;287,353
0,7125;0,7375;337,637;337,781
0,725;0,75;384,561;392,858
0,7375;0,7625;380,879;400,795
0,75;0,775;363,179;382,926
0,7625;0,7875;333,663;366,285
0,775;0,8;316,813;324,368
0,7875;0,8125;376,332;371
0,8;0,825;421,557;436,149
0,8125;0,8375;447,228;512,282
0,825;0,85;486,082;570,975
0,8375;0,8625;519,765;591,591
0,85;0,875;534,503;601,995
0,8625;0,8875;536,942;569,321
0,875;0,9;505,27;496,039
0,8875;0,9125;468,518;448,032
0,9;0,925;456,479;455,046
0,9125;0,9375;507,929;537,53
0,925;0,95;542,362;546,031
0,9375;0,9625;484,816;462,17
0,95;0,975;434,455;424,237
0,9625;0,9875;449,54;458,6
0,975;1;464,012;493,398
0,9875;1,0125;452,124;466,236
1;1,025;450,455;471,985
1,0125;1,0375;489,046;484,938
1,025;1,05;475,401;449,994
1,0375;1,0625;406,998;423,632
1,05;1,075;438,905;453,821
1,0625;1,0875;470,389;473,036
1,075;1,1;433,554;419,642
1,0875;1,1125;405,244;411,466
1,1;1,125;340,374;377,258
1,1125;1,1375;317,801;333,827
1,125;1,15;320,034;346,45
1,1375;1,1625;347,089;360,266
1,15;1,175;343,014;335,137
1,1625;1,1875;279,229;267,984
1,175;1,2;263,076;264,775
1,1875;1,2125;275,223;295,375
1,2;1,225;281,041;306,763
1,2125;1,2375;273,875;301,842
1,225;1,25;237,932;281,755
1,2375;1,2625;236,229;288,029
1,25;1,275;255,344;289,102
1,2625;1,2875;210,225;229,201
1,275;1,3;207,925;223,068
1,2875;1,3125;207,732;229,68
1,3;1,325;159,457;186,506
1,3125;1,3375;108,606;128,554
1,325;1,35;86,9957;95,2625
1,3375;1,3625;84,2113;85,0059
1,35;1,375;83,7033;81,852
1,3625;1,3875;69,3007;69,0613
1,375;1,4;63,2157;66,2482
1,3875;1,4125;61,7782;65,1498
1,4;1,425;60,0279;61,1916
1,4125;1,4375;58,8879;64,699
