Start;Stop;;;;
0;0,025;50;118;48;112
0,0125;0,0375;71;130;60;152
0,025;0,05;74;126;64;155
0,0375;0,0625;64;130;58;139
0,05;0,075;64;140;62;140
0,0625;0,0875;72;134;70;139
0,075;0,1;75;123;68;137
0,0875;0,1125;70;134;67;144
0,1;0,125;68;138;63;148
0,1125;0,1375;68;142;65;147
0,125;0,15;79;154;70;152
0,1375;0,1625;91;153;64;153
0,15;0,175;95;163;59;149
0,1625;0,1875;91;165;56;161
0,175;0,2;77;158;51;164
0,1875;0,2125;80;172;59;160
0,2;0,225;76;174;70;159
0,2125;0,2375;66;168;61;172
0,225;0,25;47;161;33;168
0,2375;0,2625;38;142;40;147
0,25;0,275;45;147;75;157
0,2625;0,2875;45;171;73;168
0,275;0,3;61;178;45;161
0,2875;0,3125;76;191;77;169
0,3;0,325;72;185;95;173
0,3125;0,3375;65;162;72;170
0,325;0,35;61;165;68;166
0,3375;0,3625;53;178;64;146
0,35;0,375;61;166;67;141
0,3625;0,3875;66;139;64;140
0,375;0,4;66;145;62;149
0,3875;0,4125;67;151;78;164
0,4;0,425;75;147;80;170
0,4125;0,4375;87;150;75;174
0,425;0,45;88;166;77;164
0,4375;0,4625;85;167;82;164
0,45;0,475;75;166;82;172
0,4625;0,4875;76;165;79;178
0,475;0,5;69;138;75;157
0,4875;0,5125;64;124;75;127
0,5;0,525;71;126;80;115
0,5125;0,5375;71;130;83;114
0,525;0,55;69;116;86;117
0,5375;0,5625;75;107;85;112
0,55;0,575;83;100;88;109
0,5625;0,5875;85;102;93;120
0,575;0,6;86;110;92;125
0,5875;0,6125;92;108;89;114
0,6;0,625;93;116;85;120
0,6125;0,6375;91;120;90;116
0,625;0,65;91;109;91;115
0,6375;0,6625;89;113;95;128
0,65;0,675;84;112;90;121
0,6625;0,6875;85;116;93;133
0,675;0,7;86;127;95;148
0,6875;0,7125;86;122;94;141
0,7;0,725;90;119;92;134
0,7125;0,7375;89;119;91;135
0,725;0,75;84;112;101;130
0,7375;0,7625;91;113;91;121
0,75;0,775;91;114;83;118
0,7625;0,7875;89;118;89;130
0,775;0,8;92;125;95;132
0,7875;0,8125;88;121;102;128
0,8;0,825;89;108;99;125
0,8125;0,8375;84;105;91;109
0,825;0,85;79;106;84;100
0,8375;0,8625;78;107;84;103
0,85;0,875;77;107;83;109
0,8625;0,8875;77;113;77;122
0,875;0,9;75;117;76;133
0,8875;0,9125;79;111;84;125
0,9;0,925;84;115;91;115
0,9125;0,9375;82;108;83;106
0,925;0,95;76;101;72;105
0,9375;0,9625;75;111;79;116
0,95;0,975;78;121;80;122
0,9625;0,9875;85;125;71;126
0,975;1;91;116;81;120
0,9875;1,0125;91;113;93;123
1;1,025;81;118;86;128
1,0125;1,0375;74;109;81;113
1,025;1,05;77;107;91;115
1,0375;1,0625;84;117;88;124
1,05;1,075;88;111;80;122
1,0625;1,0875;81;111;84;121
1,075;1,1;82;116;89;119
1,0875;1,1125;79;111;88;117
1,1;1,125;81;112;76;122
1,1125;1,1375;91;111;75;117
1,125;1,15;84;117;79;114
1,1375;1,1625;73;117;77;119
1,15;1,175;78;109;78;121
1,1625;1,1875;80;111;79;126
