Start,Stop,,
0,0.025,8221.25,7018.05
0.0125,0.0375,188.381,147.212
0.025,0.05,248.801,575.17
0.0375,0.0625,255.665,591.329
0.05,0.075,178.915,230.497
0.0625,0.0875,216.182,241.887
0.075,0.1,756.716,306.265
0.0875,0.1125,1063.12,309.721
0.1,0.125,807.18,260.194
0.1125,0.1375,296.197,199.711
0.125,0.15,211.508,109.925
0.1375,0.1625,2092.39,427.551
0.15,0.175,2240.92,427.256
0.1625,0.1875,910.234,145.496
0.175,0.2,524.84,171.148
0.1875,0.2125,517.197,183.83
0.2,0.225,739.02,161.761
0.2125,0.2375,717.127,164.407
0.225,0.25,392.513,1139.06
0.2375,0.2625,514.842,1190.73
0.25,0.275,574.067,1615.37
0.2625,0.2875,322.676,1691.54
0.275,0.3,761.201,640.682
0.2875,0.3125,885.648,307.909
0.3,0.325,524.245,433.727
0.3125,0.3375,315.453,359.222
0.325,0.35,3264.9,200.303
0.3375,0.3625,3262.15,221.408
0.35,0.375,592.519,256.867
0.3625,0.3875,4037.56,247.588
0.375,0.4,4814.27,513.917
0.3875,0.4125,2783.12,557.471
0.4,0.425,744.704,272.185
0.4125,0.4375,546.301,108.845
0.425,0.45,1071.99,93.371
0.4375,0.4625,2847.28,76.5052
0.45,0.475,2693.48,56.5385
0.4625,0.4875,117.532,63.9701
0.475,0.5,93.681,69.1433
0.4875,0.5125,95.4101,74.8503
0.5,0.525,102.152,73.448
0.5125,0.5375,110.937,80.0708
0.525,0.55,127.877,85.6978
0.5375,0.5625,165.753,86.3305
0.55,0.575,4895.78,82.1473
0.5625,0.5875,4898.62,77.2652
0.575,0.6,230.451,81.4755
0.5875,0.6125,216.997,83.6029
0.6,0.625,221.199,85.9353
0.6125,0.6375,115.247,76.2515
0.625,0.65,96.0039,91.0485
0.6375,0.6625,107.582,93.026
0.65,0.675,100.936,83.3792
0.6625,0.6875,90.1653,81.7141
0.675,0.7,191.829,146.901
0.6875,0.7125,221.217,165.661
0.7,0.725,256.056,107.428
0.7125,0.7375,2961.14,154.928
0.725,0.75,3165.26,158.929
0.7375,0.7625,1183.9,174.353
0.75,0.775,462.153,180.448
0.7625,0.7875,349.058,120.911
0.775,0.8,129.074,115.056
0.7875,0.8125,110.775,251.988
0.8,0.825,118.836,253.276
0.8125,0.8375,354.866,117.737
0.825,0.85,465.849,103.063
0.8375,0.8625,1524.62,171.465
0.85,0.875,1532.09,174.59
0.8625,0.8875,479.631,76.3328
0.875,0.9,401.734,61.6191
0.8875,0.9125,364.595,90.1888
0.9,0.925,435.486,91.3949
0.9125,0.9375,344.613,56.6098
0.925,0.95,131.863,54.6166
0.9375,0.9625,204.184,52.5941
0.95,0.975,203.017,52.2625
0.9625,0.9875,118.874,56.0219
0.975,1,113.898,90.1323
0.9875,1.0125,121.86,90.3727
1,1.025,383.556,101.896
1.0125,1.0375,519.869,103.988
1.025,1.05,382.739,58.2278
1.0375,1.0625,166.884,48.4639
1.05,1.075,148.467,54.3499
1.0625,1.0875,170.432,57.4374
1.075,1.1,164.932,54.7252
1.0875,1.1125,120.101,56.1401
1.1,1.125,98.1708,53.9066
1.1125,1.1375,79.6847,49.7769
1.125,1.15,80.3893,53.6049
1.1375,1.1625,81.5081,53.1553
1.15,1.175,114.714,46.3065
1.1625,1.1875,134.252,46.2463
1.175,1.2,116.394,48.528
1.1875,1.2125,106.081,68.4188
1.2,1.225,444.297,640.57
1.2125,1.2375,486.584,686.751
1.225,1.25,634.224,266.855
1.2375,1.2625,828.11,516.66
1.25,1.275,842.337,1030.16
1.2625,1.2875,958.498,1312.45
1.275,1.3,926.334,1301.99
1.2875,1.3125,868.996,1173.38
1.3,1.325,790.21,968.257
1.3125,1.3375,705.079,815.745
1.325,1.35,721.862,791.576
1.3375,1.3625,733.996,869.05
1.35,1.375,740.421,846.243
1.3625,1.3875,615.321,755.203
1.375,1.4,594.355,736.444
1.3875,1.4125,1124.25,1142.58
1.4,1.425,1456.57,1436.28
1.4125,1.4375,1498.08,1425.55
1.425,1.45,1516,1463.82
1.4375,1.4625,1222.79,1190.19
1.45,1.475,732.987,770.583
1.4625,1.4875,491.625,653.049
1.475,1.5,347.681,439.834
1.4875,1.5125,309.588,279.459
1.5,1.525,282.084,219.141
1.5125,1.5375,181.678,168.277
1.525,1.55,233.705,218.993
1.5375,1.5625,1087.67,937.23
1.55,1.575,1133.06,968.084
1.5625,1.5875,1187.98,1137.67
1.575,1.6,1722.51,1447.29
1.5875,1.6125,1844.41,1318.03
1.6,1.625,1676.21,1336.48
1.6125,1.6375,1299.52,1328.1
1.625,1.65,1272.4,1069.21
1.6375,1.6625,1469.17,1094.41
1.65,1.675,1503.72,1359.56
1.6625,1.6875,1487.57,1458.62
1.675,1.7,1349.95,1406.8
1.6875,1.7125,1192.25,1215.27
1.7,1.725,1233.02,1021.62
1.7125,1.7375,996.439,694.304
1.725,1.75,716.645,806.802
1.7375,1.7625,1733.67,779.674
1.75,1.775,1671.53,328.893
1.7625,1.7875,455.616,387.03
1.775,1.8,266.8,344.543
1.7875,1.8125,165.345,221.664
1.8,1.825,442.484,207.545
1.8125,1.8375,442.149,283.309
1.825,1.85,154.954,262.751
1.8375,1.8625,140.738,111.094
1.85,1.875,129.742,150.011
1.8625,1.8875,111.898,180.148
1.875,1.9,104.21,187.977
1.8875,1.9125,183.012,188.64
1.9,1.925,224.803,170.554
1.9125,1.9375,170.345,160.726
1.925,1.95,167.378,153.179
1.9375,1.9625,167.515,129.112
1.95,1.975,120.863,143.759
1.9625,1.9875,137.854,206.308
1.975,2,120.767,245.212
1.9875,2.0125,125.224,230.475
2,2.025,144.732,214.009
2.0125,2.0375,210.198,201.804
2.025,2.05,557.717,221.202
2.0375,2.0625,530.487,527.573
2.05,2.075,136.849,1073.46
2.0625,2.0875,225.713,1033.36
2.075,2.1,330.056,528.727
2.0875,2.1125,459.467,674.772
2.1,2.125,496.157,899.873
2.1125,2.1375,432.225,897.076
2.125,2.15,359.758,782.921
2.1375,2.1625,409.206,886.803
2.15,2.175,459.052,999.298
2.1625,2.1875,412.514,1084.6
2.175,2.2,454.846,1309.8
2.1875,2.2125,491.352,1352.4
2.2,2.225,498.496,1337.17
2.2125,2.2375,519.662,1439.98
2.225,2.25,480.474,1337.56
2.2375,2.2625,440.489,1054.97
2.25,2.275,414.224,997.37
2.2625,2.2875,426.583,1062.75
2.275,2.3,688.261,1112.91
2.2875,2.3125,671.239,1047.28
2.3,2.325,421.265,904.853
2.3125,2.3375,436.174,887.42
2.325,2.35,445.941,861.617
2.3375,2.3625,444.342,858.997
2.35,2.375,422.321,894.152
2.3625,2.3875,409.587,945.883
2.375,2.4,446.279,910.761
2.3875,2.4125,461.236,879.069
2.4,2.425,693.031,1013.99
2.4125,2.4375,847.744,1008.73
2.425,2.45,782.156,897.466
2.4375,2.4625,910.003,1004.59
2.45,2.475,820.467,952.35
2.4625,2.4875,587.039,854.819
2.475,2.5,954.466,887.299
2.4875,2.5125,2864.83,881.3
2.5,2.525,2806.93,880.777
2.5125,2.5375,707.845,941.166
2.525,2.55,514.685,952.016
2.5375,2.5625,532.995,911.614
2.55,2.575,622.019,874.217
2.5625,2.5875,724.752,837.136
2.575,2.6,710.661,779.071
2.5875,2.6125,654.955,654.89
2.6,2.625,675.946,717.837
2.6125,2.6375,768.959,726.029
2.625,2.65,700.576,651.898
2.6375,2.6625,554.168,638.698
2.65,2.675,620.316,582.875
2.6625,2.6875,626.551,518.722
2.675,2.7,894.374,444.689
2.6875,2.7125,1035.73,390.278
2.7,2.725,2085.03,378.814
2.7125,2.7375,3320.59,332.352
2.725,2.75,3563.68,294.591
2.7375,2.7625,3395.46,282.436
2.75,2.775,2939.08,244.704
2.7625,2.7875,3694.57,226.052
2.775,2.8,10742.2,613.563
2.7875,2.8125,13380.4,628.388
2.8,2.825,9329.81,356.285
2.8125,2.8375,6577.94,350.627
2.825,2.85,6226.5,252.847
2.8375,2.8625,5676.36,226.61
2.85,2.875,6871.58,279.659
2.8625,2.8875,15579.5,389.278
2.875,2.9,17628.8,376.197
2.8875,2.9125,9544.18,270.025
2.9,2.925,6090.92,260.326
2.9125,2.9375,6239.41,234.961
2.925,2.95,1591.28,208.643
2.9375,2.9625,1571.72,187.981
2.95,2.975,1875.82,155.149
2.9625,2.9875,1783.31,123.177
2.975,3,1283.43,111.814
2.9875,3.0125,354.626,129.564
3,3.025,300.11,135.3
3.0125,3.0375,827.208,193.125
3.025,3.05,1146.55,209.054
3.0375,3.0625,1289.54,174.273
3.05,3.075,1263.17,154.472
3.0625,3.0875,1152.79,112.582
3.075,3.1,3214.89,93.6292
3.0875,3.1125,16874.9,453.051
3.1,3.125,16595.5,476.795
3.1125,3.1375,580.485,180.17
3.125,3.15,302.656,113.952
3.1375,3.1625,365.114,129.232
3.15,3.175,1083.53,138.241
3.1625,3.1875,1179.28,127.364
3.175,3.2,745.387,125.247
3.1875,3.2125,1007.69,121.898
3.2,3.225,1165.03,100.168
3.2125,3.2375,836.557,74.3324
3.225,3.25,605.652,69.3157
3.2375,3.2625,620.99,64.5255
3.25,3.275,445.154,67.2637
3.2625,3.2875,708.466,83.249
3.275,3.3,1720.58,78.5607
3.2875,3.3125,2573.18,110.479
3.3,3.325,3748.78,112.972
3.3125,3.3375,4412.49,70.3909
3.325,3.35,4509.38,78.6735
3.3375,3.3625,3776.8,167.837
3.35,3.375,2931.35,204.069
3.3625,3.3875,2272.92,195.827
3.375,3.4,178.743,277.257
3.3875,3.4125,152.716,260.069
3.4,3.425,126.597,1455.82
3.4125,3.4375,153.958,1773.57
3.425,3.45,202.869,1051.58
3.4375,3.4625,214.556,296.011
3.45,3.475,184.941,193.8
3.4625,3.4875,153.799,536.642
3.475,3.5,111.728,528.129
3.4875,3.5125,95.5801,212.724
3.5,3.525,77.1446,209.234
3.5125,3.5375,89.3036,99.2793
3.525,3.55,114.082,70.7053
3.5375,3.5625,136.11,64.8048
3.55,3.575,142.873,66.0758
3.5625,3.5875,125.773,61.0134
3.575,3.6,119.081,51.2736
3.5875,3.6125,149.723,70.0178
3.6,3.625,182.175,68.6357
3.6125,3.6375,481.988,58.8095
3.625,3.65,525.33,92.5719
3.6375,3.6625,323.112,141.88
3.65,3.675,216.172,183.621
3.6625,3.6875,93.6622,161.864
3.675,3.7,86.6414,137.548
3.6875,3.7125,69.8019,1078.62
3.7,3.725,58.7283,1148.66
3.7125,3.7375,82.0434,769.325
3.725,3.75,85.8804,675.132
3.7375,3.7625,67.4122,231.465
3.75,3.775,60.8693,163.766
3.7625,3.7875,56.5196,96.313
3.775,3.8,53.4051,86.0449
3.7875,3.8125,49.2693,74.9167
3.8,3.825,55.5905,96.178
3.8125,3.8375,57.1464,133.382
3.825,3.85,65.5584,114.818
3.8375,3.8625,71.3401,69.4348
3.85,3.875,66.5599,55.6084
3.8625,3.8875,71.0974,55.0806
3.875,3.9,73.2788,68.4487
3.8875,3.9125,182.898,151.473
3.9,3.925,195.154,228.198
3.9125,3.9375,176.464,198.529
3.925,3.95,258.289,318.335
3.9375,3.9625,271.646,332.648
3.95,3.975,319.026,236.096
3.9625,3.9875,329.601,279.667
3.975,4,267.981,242.613
3.9875,4.0125,238.566,267.314
4,4.025,228.602,268.626
4.0125,4.0375,290.347,181.608
4.025,4.05,409.348,348.704
4.0375,4.0625,586.419,503.201
4.05,4.075,674.556,539.402
4.0625,4.0875,666.043,490.078
4.075,4.1,583.213,427.909
4.0875,4.1125,463.889,418.166
4.1,4.125,572.141,576.853
4.1125,4.1375,579.584,658.155
4.125,4.15,461.611,540.078
4.1375,4.1625,414.123,706.713
4.15,4.175,283.234,1037.26
4.1625,4.1875,289.072,861.47
4.175,4.2,299.987,523.441
4.1875,4.2125,331.366,2291.58
4.2,4.225,379.362,3027.35
4.2125,4.2375,302.671,2250.7
4.225,4.25,216.837,1231.58
4.2375,4.2625,252.343,779.489
4.25,4.275,311.941,226.258
4.2625,4.2875,288.373,194.007
4.275,4.3,303.63,221.097
4.2875,4.3125,282.8,250.329
4.3,4.325,219.373,236.192
4.3125,4.3375,246.193,236.708
4.325,4.35,267.731,256.553
4.3375,4.3625,251.636,259.165
4.35,4.375,267.074,263.013
4.3625,4.3875,291.872,317.857
4.375,4.4,259.849,359.579
4.3875,4.4125,219.776,380.338
4.4,4.425,230.927,329.973
4.4125,4.4375,237.177,257.154
4.425,4.45,205.203,236.527
4.4375,4.4625,203.614,395.746
4.45,4.475,210.785,433.014
4.4625,4.4875,192.503,281.45
4.475,4.5,218.729,243.125
4.4875,4.5125,224.628,218.857
4.5,4.525,204.581,190.062
