Start;Stop;;;;
0;0,025;55;103;58;123
0,0125;0,0375;65;135;72;165
0,025;0,05;51;139;74;188
0,0375;0,0625;54;122;97;201
0,05;0,075;71;123;115;209
0,0625;0,0875;68;109;134;229
0,075;0,1;75;116;162;231
0,0875;0,1125;59;139;159;220
0,1;0,125;48;147;106;189
0,1125;0,1375;68;157;79;178
0,125;0,15;110;175;91;190
0,1375;0,1625;109;169;98;186
0,15;0,175;48;173;134;203
0,1625;0,1875;49;201;179;229
0,175;0,2;64;192;188;235
0,1875;0,2125;48;177;174;231
0,2;0,225;58;179;159;224
0,2125;0,2375;59;170;127;216
0,225;0,25;65;167;74;205
0,2375;0,2625;74;156;44;196
0,25;0,275;63;130;48;189
0,2625;0,2875;72;132;42;190
0,275;0,3;67;124;47;193
0,2875;0,3125;45;113;67;189
0,3;0,325;44;132;52;194
0,3125;0,3375;73;149;80;208
0,325;0,35;64;142;136;214
0,3375;0,3625;47;135;152;209
0,35;0,375;61;142;142;208
0,3625;0,3875;51;142;112;207
0,375;0,4;49;157;65;186
0,3875;0,4125;42;153;43;176
0,4;0,425;56;144;74;182
0,4125;0,4375;69;126;98;194
0,425;0,45;42;102;104;208
0,4375;0,4625;52;113;115;193
0,45;0,475;68;133;108;173
0,4625;0,4875;83;163;71;175
0,475;0,5;82;161;65;183
0,4875;0,5125;77;155;87;174
0,5;0,525;81;155;88;162
0,5125;0,5375;79;152;74;178
0,525;0,55;89;156;73;175
0,5375;0,5625;78;153;83;171
0,55;0,575;53;134;94;177
0,5625;0,5875;39;129;102;174
0,575;0,6;51;143;110;175
0,5875;0,6125;51;147;95;180
0,6;0,625;60;154;64;186
0,6125;0,6375;75;164;77;172
0,625;0,65;71;166;81;169
0,6375;0,6625;78;163;88;180
0,65;0,675;79;147;100;181
0,6625;0,6875;73;137;85;182
0,675;0,7;57;135;57;182
0,6875;0,7125;38;143;56;184
0,7;0,725;40;150;90;190
0,7125;0,7375;48;134;88;185
0,725;0,75;52;140;86;184
0,7375;0,7625;59;154;94;192
0,75;0,775;40;132;71;199
0,7625;0,7875;33;131;61;185
0,775;0,8;56;163;68;170
0,7875;0,8125;62;185;41;171
0,8;0,825;51;188;33;177
0,8125;0,8375;47;152;69;184
0,825;0,85;35;128;95;183
0,8375;0,8625;31;124;97;191
0,85;0,875;48;130;77;195
0,8625;0,8875;70;163;86;189
0,875;0,9;88;189;99;189
0,8875;0,9125;103;195;98;188
0,9;0,925;94;186;106;182
0,9125;0,9375;85;187;114;188
0,925;0,95;94;180;126;202
0,9375;0,9625;71;174;122;204
0,95;0,975;57;171;115;196
0,9625;0,9875;102;178;108;191
0,975;1;140;193;83;194
0,9875;1,0125;118;180;69;192
1;1,025;92;166;77;180
1,0125;1,0375;66;140;70;180
1,025;1,05;47;139;77;177
1,0375;1,0625;74;172;85;173
1,05;1,075;101;184;69;175
