Start;Stop;;
0;0,025;9385,97;8360,33
0,0125;0,0375;89,9019;96,3062
0,025;0,05;96,1871;97,5933
0,0375;0,0625;90,3272;86,2959
0,05;0,075;79,8888;90,7497
0,0625;0,0875;87,4577;91,4332
0,075;0,1;96,407;90,1446
0,0875;0,1125;99,2039;98,7337
0,1;0,125;95,5994;101,47
0,1125;0,1375;82,8606;96,2237
0,125;0,15;97,8012;96,7451
0,1375;0,1625;106,062;97,5055
0,15;0,175;94,4785;108,57
0,1625;0,1875;110,031;106,244
0,175;0,2;125,863;94,7357
0,1875;0,2125;131,137;95,884
0,2;0,225;128,946;91,0005
0,2125;0,2375;125,255;94,2812
0,225;0,25;119,529;104,679
0,2375;0,2625;118,595;102,289
0,25;0,275;118,034;95,8454
0,2625;0,2875;122,072;98,0679
0,275;0,3;130,458;93,1187
0,2875;0,3125;130,833;104,273
0,3;0,325;116,496;119,778
0,3125;0,3375;92,1356;115,259
0,325;0,35;83,5293;103,592
0,3375;0,3625;82,5006;90,119
0,35;0,375;80,1111;89,2235
0,3625;0,3875;85,5511;91,8289
0,375;0,4;82,7833;76,4341
0,3875;0,4125;76,071;71,3212
0,4;0,425;76,5334;80,0282
0,4125;0,4375;82,2062;78,9376
0,425;0,45;88,6439;75,9782
0,4375;0,4625;92,4775;77,5986
0,45;0,475;87,4505;73,3798
0,4625;0,4875;76,7723;64,6444
0,475;0,5;85,5122;72,7503
0,4875;0,5125;77,6479;71,1883
0,5;0,525;60,0032;63,7404
0,5125;0,5375;64,6812;66,6251
0,525;0,55;69,4692;66,3109
0,5375;0,5625;75,2787;66,0864
0,55;0,575;75,8503;70,0873
0,5625;0,5875;74,0671;72,8199
0,575;0,6;82,4216;72,4176
0,5875;0,6125;80,2533;74,4143
0,6;0,625;81,7425;71,0026
0,6125;0,6375;84,3003;61,2562
0,625;0,65;72,9493;57,4401
0,6375;0,6625;58,7805;54,2167
0,65;0,675;53,5904;55,5569
0,6625;0,6875;69,3158;55,1773
0,675;0,7;76,4301;51,7722
0,6875;0,7125;63,6963;52,7876
0,7;0,725;52,6776;58,2334
0,7125;0,7375;58,1105;62,7191
0,725;0,75;66,725;60,026
0,7375;0,7625;65,4337;65,2143
0,75;0,775;68,1963;67,3263
0,7625;0,7875;71,5014;64,1725
0,775;0,8;62,782;75,4265
0,7875;0,8125;60,3168;94,3281
0,8;0,825;74,4517;90,6436
0,8125;0,8375;75,4178;85,0545
0,825;0,85;61,567;80,5468
0,8375;0,8625;68,8397;63,008
0,85;0,875;71,4208;63,6543
0,8625;0,8875;69,5509;64,0724
0,875;0,9;77,7092;61,8195
0,8875;0,9125;72,5704;64,7747
0,9;0,925;59,8017;61,325
0,9125;0,9375;55,7821;58,2618
0,925;0,95;57,2961;67,9362
0,9375;0,9625;63,2321;74,1237
0,95;0,975;65,8661;79,1376
0,9625;0,9875;69,5898;95,53
0,975;1;74,0944;115,432
0,9875;1,0125;78,0487;119,953
1;1,025;74,2414;115,403
1,0125;1,0375;86,0314;101,342
1,025;1,05;94,0839;81,8777
1,0375;1,0625;86,728;89,0422
1,05;1,075;94,382;89,9328
1,0625;1,0875;93,6093;84,5135
1,075;1,1;83,1559;91,4082
1,0875;1,1125;75,4777;83,1824
1,1;1,125;84,0156;86,7894
1,1125;1,1375;95,4862;107,44
1,125;1,15;91,02;107,884
1,1375;1,1625;80,3775;90,078
1,15;1,175;65,9629;71,1445
1,1625;1,1875;58,8736;69,2826
