Start;Stop;;;;
0;0,025;50;133;56;145
0,0125;0,0375;63;156;55;176
0,025;0,05;60;164;57;185
0,0375;0,0625;62;156;62;168
0,05;0,075;61;166;50;158
0,0625;0,0875;61;174;59;151
0,075;0,1;58;163;70;154
0,0875;0,1125;55;158;67;172
0,1;0,125;51;159;55;169
0,1125;0,1375;56;159;55;165
0,125;0,15;49;143;54;167
0,1375;0,1625;41;143;45;168
0,15;0,175;49;158;49;167
0,1625;0,1875;49;154;55;171
0,175;0,2;46;150;46;180
0,1875;0,2125;42;142;52;174
0,2;0,225;46;143;61;152
0,2125;0,2375;54;156;57;155
0,225;0,25;51;156;58;153
0,2375;0,2625;45;153;53;151
0,25;0,275;44;137;53;162
0,2625;0,2875;45;140;54;149
0,275;0,3;40;156;57;151
0,2875;0,3125;36;145;60;157
0,3;0,325;51;161;51;148
0,3125;0,3375;74;176;50;135
0,325;0,35;68;170;50;134
0,3375;0,3625;56;162;58;159
0,35;0,375;69;153;65;171
0,3625;0,3875;72;157;59;160
0,375;0,4;61;156;68;163
0,3875;0,4125;60;161;70;169
0,4;0,425;59;167;68;174
0,4125;0,4375;62;166;69;175
0,425;0,45;59;168;66;176
0,4375;0,4625;52;157;64;185
0,45;0,475;62;157;69;174
0,4625;0,4875;80;168;72;164
0,475;0,5;68;164;59;154
0,4875;0,5125;55;148;70;147
0,5;0,525;63;147;77;160
0,5125;0,5375;77;156;66;168
0,525;0,55;77;166;71;161
0,5375;0,5625;61;165;75;156
0,55;0,575;63;163;70;162
0,5625;0,5875;75;167;65;154
0,575;0,6;68;162;77;164
0,5875;0,6125;61;157;74;165
0,6;0,625;52;149;65;162
0,6125;0,6375;45;165;78;167
0,625;0,65;59;180;77;159
0,6375;0,6625;84;171;74;151
0,65;0,675;83;165;71;156
0,6625;0,6875;62;164;65;155
0,675;0,7;61;152;74;162
0,6875;0,7125;70;153;82;177
0,7;0,725;79;163;74;159
0,7125;0,7375;82;156;71;158
0,725;0,75;69;157;72;174
0,7375;0,7625;68;171;62;167
0,75;0,775;60;165;71;162
0,7625;0,7875;55;156;66;153
0,775;0,8;72;176;54;156
0,7875;0,8125;73;173;50;169
0,8;0,825;70;165;52;171
0,8125;0,8375;71;167;53;156
0,825;0,85;79;177;59;145
