Start;Stop;;
0;0,025;8729,38;9027,91
0,0125;0,0375;55,3536;57,9478
0,025;0,05;61,4056;55,3646
0,0375;0,0625;59,9849;56,3593
0,05;0,075;67,3798;60,1009
0,0625;0,0875;67,4074;64,0167
0,075;0,1;66,3864;67,162
0,0875;0,1125;65,982;61,8295
0,1;0,125;64,7287;57,6235
0,1125;0,1375;69,3927;59,3478
0,125;0,15;68,334;59,0876
0,1375;0,1625;73,6905;56,8079
0,15;0,175;71,2605;64,5564
0,1625;0,1875;64,4149;66,6678
0,175;0,2;66,1985;60,1936
0,1875;0,2125;66,6306;64,413
0,2;0,225;68,3372;61,7871
0,2125;0,2375;68,6413;58,8435
0,225;0,25;62,0458;59,5017
0,2375;0,2625;59,3302;54,1623
0,25;0,275;57,6146;57,7268
0,2625;0,2875;59,864;54,7629
0,275;0,3;68,4062;51,7201
0,2875;0,3125;67,2709;63,8361
0,3;0,325;68,117;67,4408
0,3125;0,3375;70,5223;62,8398
0,325;0,35;70,913;61,9747
0,3375;0,3625;76,089;63,7178
0,35;0,375;77,2267;64,4835
0,3625;0,3875;80,6368;68,0805
0,375;0,4;93,1009;76,5746
0,3875;0,4125;92,3266;74,4435
0,4;0,425;91,6476;66,1128
0,4125;0,4375;94,9321;71,9553
0,425;0,45;88,0364;74,5444
0,4375;0,4625;86,8123;67,0746
0,45;0,475;83,6597;65,0112
0,4625;0,4875;78,093;69,95
0,475;0,5;82,0611;75,5421
0,4875;0,5125;86,6572;75,7106
0,5;0,525;87,0261;74,1911
0,5125;0,5375;93,4479;71,9804
0,525;0,55;95,2978;71,2455
0,5375;0,5625;104,519;77,5868
0,55;0,575;110,343;88,0628
0,5625;0,5875;106,863;93,2163
0,575;0,6;108,198;88,987
0,5875;0,6125;107,791;84,5848
0,6;0,625;103,572;83,5503
0,6125;0,6375;94,3808;81,1487
0,625;0,65;96,696;82,708
0,6375;0,6625;106,072;87,5188
0,65;0,675;109,615;81,6283
0,6625;0,6875;105,475;75,24
0,675;0,7;97,1782;76,8679
0,6875;0,7125;95,5124;73,7039
0,7;0,725;90,3905;72,5869
0,7125;0,7375;86,698;83,7741
0,725;0,75;89,0847;83,7875
0,7375;0,7625;87,8589;78,5826
0,75;0,775;82,6791;82,0826
0,7625;0,7875;82,1504;72,8383
0,775;0,8;80,6842;68,3148
0,7875;0,8125;76,2125;69,5455
0,8;0,825;94,4736;62,3115
0,8125;0,8375;106,405;72,8751
0,825;0,85;92,7886;84,2127
0,8375;0,8625;78,1602;79,5663
0,85;0,875;84,0079;63,6228
0,8625;0,8875;82,4052;59,7779
0,875;0,9;80,2632;61,5279
0,8875;0,9125;87,2239;58,8684
0,9;0,925;77,5162;70,9561
0,9125;0,9375;75,9818;76,3061
0,925;0,95;76,687;76,4089
0,9375;0,9625;65,5432;75,2976
0,95;0,975;65,5821;61,9936
0,9625;0,9875;72,2854;57,6775
0,975;1;75,3573;65,8028
0,9875;1,0125;64,7332;63,7361
1;1,025;60,856;57,9014
1,0125;1,0375;80,5756;63,4305
1,025;1,05;95,3846;72,4771
1,0375;1,0625;84,1307;71,5106
1,05;1,075;66,0957;67,1519
1,0625;1,0875;74,9359;69,8847
1,075;1,1;85,8914;79,128
1,0875;1,1125;75,5723;72,2667
1,1;1,125;77,8181;60,975
1,1125;1,1375;86,8541;60,0872
1,125;1,15;88,1773;63,8606
1,1375;1,1625;100,284;71,6848
1,15;1,175;106,489;73,6672
1,1625;1,1875;98,8669;84,2512
1,175;1,2;78,8344;81,04
1,1875;1,2125;63,5533;59,9822
1,2;1,225;75,5532;66,3073
1,2125;1,2375;84,115;76,4232
1,225;1,25;79,6536;65,5564
1,2375;1,2625;78,3184;63,4599
1,25;1,275;72,7546;72,8001
1,2625;1,2875;71,4735;65,5163
1,275;1,3;65,3081;51,4016
1,2875;1,3125;64,7007;58,0607
1,3;1,325;67,0231;61,2232
1,3125;1,3375;61,0385;57,895
1,325;1,35;67,4626;61,9651
1,3375;1,3625;69,2701;59,3675
1,35;1,375;71,0202;52,7613
1,3625;1,3875;71,4376;51,8606
1,375;1,4;66,4368;60,0926
1,3875;1,4125;63,5066;67,1277
1,4;1,425;66,6562;60,929
1,4125;1,4375;65,1033;57,1796
1,425;1,45;55,4038;58,2006
1,4375;1,4625;61,5259;57,0117
1,45;1,475;65,6292;57,6833
1,4625;1,4875;55,4125;52,4652
1,475;1,5;58,2773;45,8821
1,4875;1,5125;64,7431;55,736
1,5;1,525;63,1084;61,9826
1,5125;1,5375;62,4841;55,9774
1,525;1,55;59,4905;54,9509
1,5375;1,5625;56,2773;51,9681
1,55;1,575;54,6238;49,1815
1,5625;1,5875;51,4772;54,0087
1,575;1,6;49,8435;52,9969
1,5875;1,6125;54,0265;49,0861
1,6;1,625;57,1143;53,2778
1,6125;1,6375;56,9749;52,9212
1,625;1,65;62,004;51,2077
1,6375;1,6625;64,5658;52,889
1,65;1,675;64,5683;50,4991
1,6625;1,6875;63,9942;51,7707
1,675;1,7;67,7161;51,0808
1,6875;1,7125;66,9141;46,7738
1,7;1,725;58,1668;54,4796
1,7125;1,7375;65,8211;59,4256
1,725;1,75;62,7678;49,2473
1,7375;1,7625;54,8373;46,8776
1,75;1,775;54,3874;50,9492
1,7625;1,7875;51,5901;51,2784
1,775;1,8;54,8448;49,7059
1,7875;1,8125;55,2739;46,246
1,8;1,825;57,8083;52,0826
1,8125;1,8375;57,2278;51,0259
1,825;1,85;61,5504;40,9239
1,8375;1,8625;62,442;40,2158
1,85;1,875;60,5975;46,6628
1,8625;1,8875;58,4121;48,4715
1,875;1,9;51,6509;50,0037
1,8875;1,9125;51,5425;52,9764
1,9;1,925;60,121;58,4994
1,9125;1,9375;65,126;56,5401
1,925;1,95;57,2156;50,2249
1,9375;1,9625;53,0243;51,8934
1,95;1,975;56,0789;50,585
1,9625;1,9875;55,5684;48,5605
1,975;2;55,6239;47,4378
1,9875;2,0125;62,9126;51,3436
2;2,025;73,2379;51,953
2,0125;2,0375;71,9236;51,1426
2,025;2,05;64,2924;51,5525
2,0375;2,0625;57,8939;45,7403
2,05;2,075;54,7329;42,8687
2,0625;2,0875;56,6236;55,5357
2,075;2,1;62,0657;57,3394
2,0875;2,1125;64,3966;48,088
2,1;2,125;55,3747;49,8843
2,1125;2,1375;58,127;50,8455
2,125;2,15;70,7639;52,6105
2,1375;2,1625;69,0941;50,0921
2,15;2,175;57,9661;45,3081
2,1625;2,1875;59,3811;47,8781
2,175;2,2;56,2373;52,6935
2,1875;2,2125;55,8908;61,582
2,2;2,225;61,2788;63,3669
2,2125;2,2375;69,6403;57,0669
2,225;2,25;68,2549;49,5788
2,2375;2,2625;57,3875;46,8138
2,25;2,275;62,5527;55,1454
2,2625;2,2875;62,1018;62,9088
2,275;2,3;65,0508;64,2628
2,2875;2,3125;68,7304;65,1778
2,3;2,325;62,1102;61,1372
2,3125;2,3375;64,016;62,5496
2,325;2,35;70,5543;67,0365
2,3375;2,3625;62,8339;57,3804
2,35;2,375;55,4335;53,8669
2,3625;2,3875;59,7051;56,8856
2,375;2,4;58,8642;53,9711
2,3875;2,4125;62,046;65,4146
2,4;2,425;58,1625;65,9302
2,4125;2,4375;50,8812;57,4392
2,425;2,45;64,7559;65,2295
2,4375;2,4625;117,269;97,0725
2,45;2,475;194,374;156,882
2,4625;2,4875;244,735;212,095
2,475;2,5;243,581;233,987
2,4875;2,5125;210,836;218,932
2,5;2,525;203,97;214,641
2,5125;2,5375;206,3;203,303
2,525;2,55;210,767;199,438
2,5375;2,5625;196,547;194,403
