Start;Stop;;;;
0;0,025;78;128;56;126
0,0125;0,0375;100;154;73;150
0,025;0,05;96;157;70;158
0,0375;0,0625;98;166;81;167
0,05;0,075;80;161;84;163
0,0625;0,0875;93;156;72;156
0,075;0,1;89;163;63;147
0,0875;0,1125;83;162;68;142
0,1;0,125;96;158;84;145
0,1125;0,1375;91;161;83;143
0,125;0,15;86;152;76;145
0,1375;0,1625;87;147;79;138
0,15;0,175;94;150;93;131
0,1625;0,1875;88;144;102;127
0,175;0,2;77;145;107;141
0,1875;0,2125;89;156;101;142
0,2;0,225;89;158;91;135
0,2125;0,2375;65;151;85;138
0,225;0,25;69;140;89;144
0,2375;0,2625;76;155;88;153
0,25;0,275;83;156;83;142
0,2625;0,2875;102;153;91;137
0,275;0,3;108;157;98;139
0,2875;0,3125;106;157;100;149
0,3;0,325;94;156;100;146
0,3125;0,3375;77;150;95;148
0,325;0,35;68;155;82;150
0,3375;0,3625;72;149;79;145
0,35;0,375;90;153;88;161
0,3625;0,3875;96;162;97;161
0,375;0,4;77;156;92;152
0,3875;0,4125;63;156;82;155
0,4;0,425;53;163;71;152
0,4125;0,4375;55;155;73;152
0,425;0,45;81;150;78;155
0,4375;0,4625;90;152;81;167
0,45;0,475;80;150;97;160
0,4625;0,4875;71;155;94;148
0,475;0,5;66;155;87;149
0,4875;0,5125;63;156;85;151
0,5;0,525;69;153;75;147
0,5125;0,5375;63;140;70;148
0,525;0,55;59;129;71;145
0,5375;0,5625;74;125;67;147
0,55;0,575;75;136;60;154
0,5625;0,5875;81;140;59;143
0,575;0,6;77;128;70;139
0,5875;0,6125;73;132;83;139
0,6;0,625;80;132;80;144
0,6125;0,6375;82;130;69;143
0,625;0,65;86;144;79;143
0,6375;0,6625;78;142;100;139
0,65;0,675;75;132;104;143
0,6625;0,6875;91;123;80;168
0,675;0,7;91;130;76;162
0,6875;0,7125;75;145;91;136
0,7;0,725;72;147;88;139
0,7125;0,7375;70;142;80;141
0,725;0,75;73;142;74;147
0,7375;0,7625;66;157;70;152
0,75;0,775;63;156;61;147
0,7625;0,7875;66;157;57;144
0,775;0,8;73;160;66;146
0,7875;0,8125;79;156;80;156
0,8;0,825;60;149;94;153
0,8125;0,8375;44;144;74;146
0,825;0,85;53;144;63;154
0,8375;0,8625;63;145;72;146
0,85;0,875;63;155;71;148
0,8625;0,8875;64;160;62;170
0,875;0,9;72;160;77;177
0,8875;0,9125;72;148;84;163
0,9;0,925;71;159;57;155
0,9125;0,9375;69;164;55;170
0,925;0,95;65;158;55;163
0,9375;0,9625;68;166;55;149
0,95;0,975;67;157;67;153
0,9625;0,9875;67;151;73;162
0,975;1;75;158;70;166
0,9875;1,0125;92;164;75;162
1;1,025;90;167;80;152
1,0125;1,0375;65;172;63;155
1,025;1,05;53;166;63;165
1,0375;1,0625;75;153;66;153
1,05;1,075;69;151;53;147
1,0625;1,0875;52;150;56;156
1,075;1,1;49;156;50;166
1,0875;1,1125;54;154;55;165
1,1;1,125;59;159;69;167
1,1125;1,1375;56;170;74;159
1,125;1,15;58;169;80;156
1,1375;1,1625;50;184;67;164
1,15;1,175;42;183;58;177
1,1625;1,1875;44;181;52;185
1,175;1,2;66;173;67;187
1,1875;1,2125;90;169;85;176
1,2;1,225;68;176;70;154
1,2125;1,2375;54;171;56;151
1,225;1,25;60;182;68;153
1,2375;1,2625;65;191;83;166
1,25;1,275;80;178;81;184
1,2625;1,2875;78;175;76;184
